start,text
0.04,in this video I'm going to explain how
1.48,to train for Pure muscle growth and I'm
3.399,going to lay out five crucial
5.0,bodybuilding principles that must be
6.72,followed to maximize your muscular
8.36,development this video isn't about how
10.04,to get stronger it isn't about how to
11.559,get both bigger and stronger this video
13.799,is about maximizing pure muscle
17.119,gain chapter 1 tension is
21.4,King okay so the first non-negotiable
24.08,principle is that tension is King at
26.519,this point tension is universally
28.199,recognized as the primary factor driving
30.48,muscle growth tension is the force that
32.04,our muscles experience when they stretch
33.879,and contract under load if you think of
35.92,each muscle fiber as a rope in a tug of
37.84,war that stretching and pulling on the
39.879,rope is tension that tension then causes
42.399,a biochemical signaling Cascade that
44.32,ultimately tells the muscle it needs to
46.0,grow bigger so how do we maximize
47.879,tension on a muscle well answering that
50.16,question leads us into the four
51.879,remaining
53.399,principles chapter 2 use bodybuilding
57.519,technique to ensure maximum tension we
60.039,need to perform exercises using a
62.12,specific type of technique that I'm
64.04,calling bodybuilding technique this
66.0,technique is different from powerlifting
67.68,technique and it's different from how
69.24,most people lift I was at an LA Fitness
71.08,Gym the other day and I noticed just how
73.0,few people actually use bodybuilding
74.96,technique almost nobody was taking all
77.08,the boxes the first box is lifting tempo
79.799,for bodybuilding we generally want a
81.4,controlled 2 to 4 second negative if
83.84,you're used to just letting the weight
85.119,free fall this will feel quite slow at
87.079,first but this is important because
88.56,research shows that the lowering phase
90.52,or the Ecentric is very likely more
93.04,important for muscle growth in the
94.56,positive phase or concentric yet for
97.0,whatever reason most people lift as if
99.159,the opposite were true most people just
100.96,try to get the weight up and then forget
103.0,about lowering it back down especially
105.159,as they get tired toward the end of a
106.92,set but this is a mistake because the
108.68,Reps toward the end of a set are the
110.439,most hypertrophic and the negative is
112.64,the most important part of each rep so
115.04,you really want to control and resist
116.799,the negative especially on those last
118.68,few reps new re Arch also indicates that
120.799,for muscle hypertrophy slower Ecentric
123.079,movements should be paired with faster
125.439,concentric movements this means that
127.119,while you want to go nice and slow on
128.52,the negative you should be more forceful
130.56,and explosive on the positive so if I'm
132.92,doing a hack squat I'm thinking control
135.04,control control on the way down and then
137.72,speed as I explode on the way up on
140.28,lateral raises I'm resisting the weight
141.92,on the way down and then driving the
143.56,dumbbells up and out forcefully on the
145.84,positive the same tempo should apply to
147.56,most exercises in your routine next
149.92,bodybuilding technique means using a
151.56,proper range of motion usually this
153.48,means using a full range of motion so
155.28,you get to at least parallel on squat
157.16,type exercises and ideally a bit below
159.28,parallel you bring the dumbbells all the
161.08,way down on presses until you feel a
162.76,nice deep stretch in your pecs and on
164.56,pull-ups you go all the way up and all
166.239,the way down however there is some
167.84,important Nuance here because recently a
169.72,number of Studies have shown that full
171.12,range of motion isn't always better for
173.08,muscle growth partial reps are sometimes
174.84,more effective but only when they're
176.4,done in the stretched aspect of the lift
178.68,in other words the stretch stretched
180.159,part is more hypertrophic than the
182.08,squeezed part so the bottom half of a
184.239,cable curl is more important than the
186.04,top half of a cable curl the bottom half
188.159,of a squat is more important than the
190.2,top half of a squat so you may not
191.92,necessarily always need to use a full
193.599,range of motion but you do need to get
195.28,the muscle sufficiently stretched while
197.04,lifting to maximize hypertrophy so if
199.319,you're not feeling a deep stretch at the
200.76,bottom of the range of motion you should
202.319,try to find that stretch by going a bit
204.239,deeper if going deeper causes you pain
206.159,or serious discomfort you can work on
207.92,any flexibility or Mobility deficit or
210.239,you can find a different exercise that
211.68,allows you to reach that deep stretch
213.319,because it really is that important
215.08,another thing I've been noticing a lot
216.2,at the gym is that most people do quite
218.04,a lot of cheating on their form probably
220.72,too much cheating to maximize muscle
222.4,growth that's because you can move the
223.879,weight without actually applying much
225.439,tension to the Target muscle for example
227.84,if I curl the weight up while leaning
229.799,back and forth I'm shifting tension away
231.92,from the biceps and onto the lower back
234.159,so we want to ensure that the target
235.76,muscle is receiving most of the tension
237.68,which means keeping momentum under
239.28,control
241.519,chapter three
244.599,effort you need to push sets hard and
247.2,unfortunately research consistently
249.0,shows that most people simply don't push
251.04,their sets hard enough to maximize
252.72,muscle growth it's very common to see
254.439,people hitting the gym year after year
256.199,but making no noticeable progress in
258.239,most cases this isn't because they'
259.88,maxed out their natural potential
261.519,instead it's usually because they simply
263.44,aren't pushing their sets close enough
264.84,to failure to stimulate new hypertrophy
267.24,so how hard is hard enough and how
269.28,important is going to failure well since
271.36,I published my last video on this topic
272.96,there's been a bombshell of a new meta
274.479,analysis that is the science-based
276.039,lifting Community buzzing and I need to
277.96,update a few things first I want to
279.759,quickly announce that I just launched my
281.28,new pure bodybuilding program for
282.88,pre-order over on Jeff ner.me
300.0,here's a sneak peek at week one day one
302.16,of the full body version of the program
303.88,we start with three sets of cross body
305.68,lat pull rounds which offer an insane
307.88,stretch on the lats then we do lwi
309.6,incline Smith machine press for the pecs
311.68,Which is less demanding than a freee
313.12,barbell press then it's on to machine
314.88,hip adductions to get the legs nice and
316.52,warmed up for leg press again another
318.52,low impact exercise that we can push
320.44,harder without generating tons of
322.36,fatigue and then we finish with some
324.0,face PS and cable crunches so by
325.88,prioritizing exercises that are less
327.84,costly recoverywise we're a to push them
330.24,much closer to failure without feeling
332.16,completely wrecked anyway you can
333.52,pre-order the full 10we plan at 30% off
335.919,for the pre-sale and I'll put a link to
337.479,that in the description box down below
339.12,so this is the new meta analysis which
340.68,found that as you get closer and closer
342.28,to failure the more muscle growth you
344.24,tend to see and this is their bombshell
346.12,figure that you've probably seen
347.56,floating around online here on the
349.16,x-axis we have reps in reserve so this
351.319,point here at zero would be failure
353.319,where you couldn't do another rep if you
354.72,tried this point would be two rep shy of
356.72,failure this would be 10 rep shy of
358.639,failure all the way down down to 22 rep
360.759,shy of failure which would basically
362.479,just be the easiest set imaginable and
364.319,then here on the y- AIS is muscle growth
366.4,and as you can see from the trend line
367.88,as you get closer and closer to failure
369.759,you see more and more muscle growth in
371.639,fact as you go from two reps in the tank
373.44,to zero reps in the tank muscle growth
375.36,really spikes up so naturally a lot of
377.68,people who endorse high-intensity to
379.4,failure training have been using this
381.12,study to make their case that if you
382.72,want to maximize muscle growth you need
384.56,to push sets all the way to failure and
386.639,I do think they have a pretty good case
387.96,for that training approach with this
389.28,study however what I haven't seen them
391.08,showing is this other brand new meta
393.199,analysis from 2022 which pulled 15
395.88,studies based on slightly different
397.56,inclusion criteria and came to a
399.36,different conclusion quote there is no
401.319,evidence to support that resistance
402.639,training performed to momentary muscular
404.36,failure is superior to non-failure
406.56,resistance training for muscle
407.96,hypertrophy so what's going on here well
410.479,it seems that depending on which
411.72,specific studies you include and how you
413.759,run the statistics you can either come
415.68,away from this body of science thinking
